Types,Subtype,FTA Type,Category,Class,Type,ESL Category,Subtype,
Maintenance Equipment,Bus Heavy Equipment,,Equipment,Capital Equipment,Maintenance Equipment,,Bus Heavy Equipment,TRUE
Maintenance Equipment,Bus Vehicle Cleaning Systems,,Equipment,Capital Equipment,Maintenance Equipment,,Bus Vehicle Cleaning Systems,TRUE
Maintenance Equipment,Rail Maintenance Equipment,,Equipment,Capital Equipment,Maintenance Equipment,,Rail Maintenance Equipment,TRUE
Maintenance Equipment,Heavy Equipment (Rail),,Equipment,Capital Equipment,Maintenance Equipment,,Heavy Equipment (Rail),TRUE
Maintenance Equipment,Rail/Incline Plane Machinery and Equipment,,Equipment,Capital Equipment,Maintenance Equipment,,Rail/Incline Plane Machinery and Equipment,TRUE
Maintenance Equipment,Rail Line Equipment / Struc Misc,,Equipment,Capital Equipment,Maintenance Equipment,,Rail Line Equipment / Struc Misc,TRUE
Maintenance Equipment,Tools and Shop Equipment,,Equipment,Capital Equipment,Maintenance Equipment,,Tools and Shop Equipment,TRUE
Maintenance Equipment,Other Maintenance Equipment,,Equipment,Capital Equipment,Maintenance Equipment,,Other Maintenance Equipment,TRUE
Facility Equipment,Mechanical Equipment (Bus),,Equipment,Capital Equipment,Facility Equipment,,Mechanical Equipment (Bus),TRUE
Facility Equipment,Electrical Equipment (Bus),,Equipment,Capital Equipment,Facility Equipment,,Electrical Equipment (Bus),TRUE
Facility Equipment,Structural Equipment (Bus),,Equipment,Capital Equipment,Facility Equipment,,Structural Equipment (Bus),TRUE
Facility Equipment,Heavy Equipment (Bus),,Equipment,Capital Equipment,Facility Equipment,,Heavy Equipment (Bus),TRUE
Facility Equipment,Other Facilities Equipment (Bus),,Equipment,Capital Equipment,Facility Equipment,,Other Facilities Equipment (Bus),TRUE
Facility Equipment,Mechanical Equipment (Rail),,Equipment,Capital Equipment,Facility Equipment,,Mechanical Equipment (Rail),TRUE
Facility Equipment,Electrical Equipment (Rail),,Equipment,Capital Equipment,Facility Equipment,,Electrical Equipment (Rail),TRUE
Facility Equipment,Structural Equipment (Rail),,Equipment,Capital Equipment,Facility Equipment,,Structural Equipment (Rail),TRUE
Facility Equipment,Heavy Equipment (Rail),,Equipment,Capital Equipment,Facility Equipment,,Heavy Equipment (Rail),TRUE
Facility Equipment,Other Facilities Equipment (Rail),,Equipment,Capital Equipment,Facility Equipment,,Other Facilities Equipment (Rail),TRUE
IT Equipment,Hardware,,Equipment,Capital Equipment,IT Equipment,,Hardware,TRUE
IT Equipment,Software,,Equipment,Capital Equipment,IT Equipment,,Software,TRUE
IT Equipment,Networks,,Equipment,Capital Equipment,IT Equipment,,Networks,TRUE
IT Equipment,Storage,,Equipment,Capital Equipment,IT Equipment,,Storage,TRUE
IT Equipment,Other IT Equipment,,Equipment,Capital Equipment,IT Equipment,,Other IT Equipment,TRUE
Office Equipment,Furniture,,Equipment,Capital Equipment,Office Equipment,,Furniture,TRUE
Office Equipment,Supplies,,Equipment,Capital Equipment,Office Equipment,,Supplies,TRUE
Office Equipment,Other Office Equipment,,Equipment,Capital Equipment,Office Equipment,,Other Office Equipment,TRUE
Communications Equipment,Security & Surveillance,,Equipment,Capital Equipment,Security / Surveillance Equipment,,Security & Surveillance,TRUE
Communications Equipment,Radios,,Equipment,Capital Equipment,Communications Equipment,,Radios,TRUE
Communications Equipment,Other Communications Equipment,,Equipment,Capital Equipment,Communications Equipment,,Other Communications Equipment,TRUE
Signals/Signs,Route Signage,,Equipment,Capital Equipment,Signage,,Route Signage,TRUE
Signals/Signs,Other Signage Equipment,,Equipment,Capital Equipment,Signage,,Other Signage Equipment,TRUE
Signals/Signs,Train Control/Signal System,,Equipment,Capital Equipment,Communications Equipment,,Train Control/Signal System,TRUE
Electrification / Power Distribution,Traction Power (Bus),,Equipment,Capital Equipment,Electrification / Power Distribution,,Traction Power (Bus),TRUE
Electrification / Power Distribution,AC Power Lighting (Bus),,Equipment,Capital Equipment,Facility Equipment,,AC Power Lighting (Bus),TRUE
Electrification / Power Distribution,Power Distribution Substation (Bus),,Equipment,Capital Equipment,Facility Equipment,,Power Distribution Substation (Bus),TRUE
Electrification / Power Distribution,Vehicle Locator System (Bus),,Equipment,Capital Equipment,IT Equipment,,Vehicle Locator System (Bus),TRUE
Electrification / Power Distribution,Miscellaneous (Bus),,Equipment,Capital Equipment,Miscellaneous,,Miscellaneous (Bus),TRUE
Electrification / Power Distribution,Traction Power (Rail),,Equipment,Capital Equipment,Electrification / Power Distribution,,Traction Power (Bus),FALSE
